Code postal;Numéro;Implantation;Rue croisement 1;Rue croisement 2;Rue croisement 3;Précision de l’implantation;Date de mise en service
75014;32695;Rue de la Légion Etrangère, boulevard Romain Rolland;Rue de la Légion Etrangère; boulevard Romain Rolland;;croisement;19/10/12
75014;14063;Rue de la Sablière, rue Hippolyte Maindron;Rue de la Sablière; rue Hippolyte Maindron;;croisement;07/04/17
75014;11453;Rue des Plantes, rue Antoine Chantin;Rue des Plantes; rue Antoine Chantin;;croisement;28/09/12
75014;14251;Rue du Cange, rue de Gergovie;Rue du Cange; rue de Gergovie;;croisement;17/02/12
75014;15950;Rue du Moulin de la Vierge, rue Decrès;Rue du Moulin de la Vierge; rue Decrès;;croisement;17/02/12
75014;14048;Rue Guilleminot, rue Crocé Spinelli;Rue Guilleminot; rue Crocé Spinelli;;croisement;03/11/17
75014;42789;Rue Jean Dolent, rue Messier;Rue Jean Dolent; rue Messier;;croisement;20/01/12
75014;81787;Rue Messier, boulevard Arago;Rue Messier; boulevard Arago;;croisement;27/01/12
75014;14074;Rue Pernety, rue de l'Ouest;Rue Pernety; rue de l'Ouest;;croisement;09/09/16
75014;14602;Rue Raymond Losserand, rue Pierre Larousse;Rue Raymond Losserand; rue Pierre Larousse;;croisement;17/02/12
75014;89511;Rue Raymond Losserand, rue d'Alésia;Rue Raymond Losserand; rue d'Alésia;;croisement;23/03/12
75014;94232;Rue Raymond Losserand, rue Pernety;Rue Raymond Losserand; rue Pernety;;croisement;09/03/12
75014;32303;Rue Saillard, place Ferdinand Brunot;Rue Saillard; place Ferdinand Brunot;;croisement;25/05/12
75014;54552;Rue Vercingétorix, rue d'Alésia;Rue Vercingétorix; rue d'Alésia;;croisement;06/07/12
75014;92903;Rue Vercingétorix, rue Pernety;Rue Vercingétorix; rue Pernety;;croisement;17/02/12
75015;50863;21, boulevard de Vaugirard;;;;adresse précise;28/06/13
75015;12079;Avenue Albert Bartholomé, rue André Theuriet;Avenue Albert Bartholomé; rue André Theuriet;;croisement;09/03/12
75015;89051;Avenue de la Porte de Brançion, boulevard Lefebvre;Avenue de la Porte de Brançion; boulevard Lefebvre;;croisement;08/06/12
75015;68651;Avenue de Suffren, avenue de la Motte-Piquet;Avenue de Suffren; avenue de la Motte-Piquet;;croisement;11/05/12
75015;49453;Avenue du Maine, rue du Départ;Avenue du Maine; rue du Départ;;croisement;20/04/12
75015;90461;Avenue Emile Zola, rue des Entrepreneurs;Avenue Emile Zola; rue des Entrepreneurs;;croisement;23/03/12
75015;15089;Beaugrenelle/Passerelle Est, colonne CPCU;;;;point décrit;29/06/17
75015;15090;Beaugrenelle/Passerelle Ouest, Mercure II;;;;point décrit;07/12/16
75015;15096;Beaugrenelle/Passerelle Robert Keller;;;;point décrit;22/02/18
75015;15085;Beaugrenelle/Rampe d'accès rue Docteur Finlay;;;;point décrit;03/10/16
75015;15092;Beaugrenelle/Reflets;;;;point décrit;30/11/16
75015;15093;Beaugrenelle/Synagogue, Rive Gauche;;;;point décrit;30/11/16
75015;15094;Beaugrenelle/Verseau, Perspective 1;;;;point décrit;02/12/16
75015;10476;Boulevard de Grenelle, rue du Commerce;Boulevard de Grenelle; rue du Commerce;;croisement;21/12/11
75015;41677;Boulevard du Montparnasse, rue de l'Arrivée;Boulevard du Montparnasse; rue de l'Arrivée;;croisement;06/09/13
75015;39029;Boulevard Lefebvre, rue Jean Sicard;Boulevard Lefebvre; rue Jean Sicard;;croisement;02/03/12
75015;95742;Boulevard Pasteur, passage Alexandre;Boulevard Pasteur; passage Alexandre;;croisement;20/01/12
75015;11877;Esplanade de la Mairie;;;;adresse imprécise;24/08/12
75015;70737;Place Charles Michels;;;;adresse imprécise;23/03/12
75015;69625;Place des Martyrs Juifs du Vélodrome d'Hiver;;;;adresse imprécise;12/10/12
75015;60499;Place Henri Queille, boulevard Garibaldi, avenue de Breteuil;Place Henri Queille; boulevard Garibaldi; avenue de Breteuil;croisement;17/02/12
75015;43956;Place Marcel Cerdan, boulevard de Grenelle, rue Humblot;Place Marcel Cerdan; boulevard de Grenelle; rue Humblot;croisement;17/02/12
75015;43285;Place Raoul Dautry;;;;adresse imprécise;15/06/12
75015;45963;Place Raoul Dautry, boulevard de Vaugirard, rue de l'Arrivée;Place Raoul Dautry; boulevard de Vaugirard; rue de l'Arrivée;croisement;20/04/12
75015;71964;Pont de Grenelle côté rive gauche Amont — Seine;;;;point décrit;12/10/12
75015;77600;Porte de Versailles, esplanade du 9 novembre 1989, avenue E. Renan;Porte de Versailles; esplanade du 9 novembre 1989; avenue E. Renan;croisement;16/03/12
75015;96540;Porte de Versailles Nord;;;;point décrit;16/03/12
75015;31629;Quai de Grenelle, pont de Grenelle;Quai de Grenelle; pont de Grenelle;;croisement;19/10/12
75015;37524;Quai de Grenelle, pont de Bir Hakeim;Quai de Grenelle; pont de Bir Hakeim;;croisement;12/10/12
75015;71637;Rond-point du pont Mirabeau, quai André Citroën;Rond-point du pont Mirabeau; quai André Citroën;;croisement;30/03/12
75015;13273;Rue Bargue, rue Platon;Rue Bargue; rue Platon;;croisement;21/12/11
75015;15113;Rue Brancion, rue de Vouillé;Rue Brancion; rue de Vouillé;;croisement;07/11/16
75015;79759;Rue d'Alleray, rue de la Procession;Rue d'Alleray; rue de la Procession;;croisement;12/10/12
75015;31474;Rue de Dantzig, rue Périchaux;Rue de Dantzig; rue Périchaux;;croisement;24/02/12
75015;10771;Rue de Javel, rue Gutemberg;Rue de Javel; rue Gutemberg;;croisement;23/03/12
75015;80153;Rue de la Convention, rue de Vaugirard;Rue de la Convention; rue de Vaugirard;;croisement;31/08/12
75015;87231;Rue de la Convention, rue de la Croix Nivert;Rue de la Convention; rue de la Croix Nivert;;croisement;16/11/12
75015;53526;Rue de la Croix Nivert, rue Desnouettes;Rue de la Croix Nivert; rue Desnouettes;;croisement;22/06/12
75015;15116;Rue de Vaugirard, place Adolphe Chérioux;Rue de Vaugirard; place Adolphe Chérioux;;croisement;22/03/17
75015;15114;Rue de Vouillé, rue de Castagnary;Rue de Vouillé; rue de Castagnary;;croisement;30/09/16
75015;17112;Rue des Quatre frères Peignot, avenue Emile Zola;Rue des Quatre frères Peignot; avenue Emile Zola;;croisement;13/04/12
75015;11675;Rue Desaix, place Alfred Sauvy;Rue Desaix; place Alfred Sauvy;;croisement;13/01/12
75015;15067;Rue du Colonel Pierre Avia, contre-allée des Frères Voisin;;;;point décrit;08/02/18
75015;99315;Rue du Commerce, avenue Emile Zola, Frémicourt;Rue du Commerce; avenue Emile Zola; Frémicourt;croisement;18/07/14
75015;15120;Rue Emeriau, rue du Théatre;Rue Emeriau; rue du Théatre;;croisement;29/06/17
75015;65530;Rue Falguière, rue Bargue;Rue Falguière; rue Bargue;;croisement;21/12/11
75015;48877;Rue George Bernard Shaw, rue Leroi Gourhan;Rue George Bernard Shaw; rue Leroi Gourhan;;croisement;27/01/12
75015;12972;Rue Jean Fourastie (face DOJO);;;;point décrit;16/11/12
75015;72190;Rue Léon Lhermitte, rue Gustave Larroumet;Rue Léon Lhermitte; rue Gustave Larroumet;;croisement;13/04/12
75015;25702;Rue Léon Lhermitte, rue du docteur Jacquemaire Clémenceau;Rue Léon Lhermitte; rue du docteur Jacquemaire Clémenceau;;croisement;20/04/12
75015;15095;Rue Linois, rue Emeriau;Rue Linois; rue Emeriau;;croisement;02/03/17
75015;26831;Rue Nélaton;;;;adresse imprécise;20/01/12
75015;70417;Rue Platon, rue Falguière;Rue Platon; rue Falguière;;croisement;21/12/11
75015;17168;Rue Saint-Charles, rue Varet;Rue Saint-Charles; rue Varet;;croisement;25/05/12
75015;15119;ZAC Boucicaut — allée Irène Némirovsky;;;;point décrit;08/07/16
75016;44621;Allée de Longchamp, allée de la Reine Marguerite;Allée de Longchamp; allée de la Reine Marguerite;;croisement;02/08/13
75016;84766;Allée de Longchamp, route des Moulins;Allée de Longchamp; route des Moulins;;croisement;02/08/13
75016;16071;Avenue Chantemesse, avenue du Maréchal Fayolle;Avenue Chantemesse; avenue du Maréchal Fayolle;;croisement;10/08/16
75016;35575;Avenue de la Grande Armée, rue de Tilsitt;Avenue de la Grande Armée; rue de Tilsitt;;croisement;07/09/12
75016;16124;Avenue de la Muette, avenue Ingres, avenue Prudhon;Avenue de la Muette; avenue Ingres; avenue Prudhon;croisement;06/10/16
75016;27296;Avenue de Versailles, boulevard Exelmans;Avenue de Versailles; boulevard Exelmans;;croisement;15/06/12
75016;43643;Avenue de Versailles, rue Wilhem;Avenue de Versailles; rue Wilhem;;croisement;27/07/12
75016;97703;Avenue des Nations Unies, rue Le Nôtre;Avenue des Nations Unies; rue Le Nôtre;;croisement;17/02/12
75016;65961;Avenue du Parc des Princes, rue Claude Farrère;Avenue du Parc des Princes; rue Claude Farrère;;croisement;13/04/12
75016;16135;Avenue Edouard Vaillant, avenue Ferdinand Buisson;Avenue Edouard Vaillant; avenue Ferdinand Buisson;;croisement;16/09/16
75016;16134;Avenue Ferdinand Buisson, avenue Georges Lafont, avenue Félix d'Herelle;Avenue Ferdinand Buisson; avenue Georges Lafont; avenue Félix d'Herelle;croisement;17/03/17
75016;64215;Avenue Foch, avenue de Malakoff;Avenue Foch; avenue de Malakoff;;croisement;14/09/12
75016;82540;Avenue Georges Lafont, rue Edouard Vaillant;Avenue Georges Lafont; rue Edouard Vaillant;;croisement;28/09/12
75016;51930;Avenue Georges Mandel, rue Decamps;Avenue Georges Mandel; rue Decamps;;croisement;10/08/12
75016;13418;Avenue Kléber, avenue des Portugais;Avenue Kléber; avenue des Portugais;;croisement;22/06/12
75016;93829;Avenue Raphaël, boulevard Suchet;Avenue Raphaël; boulevard Suchet;;croisement;09/11/12
75016;15181;Boulevard Murat, rue Lecomte du Nouy, rue de Varize;Boulevard Murat; rue Lecomte du Nouy; rue de Varize;croisement;10/02/12
75016;16145;Boulevard Murat, rue Daumier;Boulevard Murat; rue Daumier;;croisement;23/09/16
75016;16146;Boulevard Murat, quai Saint-Exupéry;Boulevard Murat; quai Saint-Exupéry;;croisement;04/11/16
75016;19196;Boulevard Murat, place de la Porte Molitor;Boulevard Murat; place de la Porte Molitor;;croisement;27/01/12
75016;17849;Boulevard Suchet, rue Raffet, square TolstoÏ;Boulevard Suchet; rue Raffet; square TolstoÏ;croisement;30/03/12
75016;51992;Centre Géo André;;;;adresse imprécise;13/04/12
75016;98777;Jardins du Trocadéro;;;;adresse imprécise;15/06/12
75016;32329;Place Clément Ader;;;;adresse imprécise;08/02/13
75016;27756;Place de la Porte de Saint-Cloud, avenue Georges Lafont;Place de la Porte de Saint-Cloud; avenue Georges Lafont;;croisement;28/09/12
75016;91353;Place de Varsovie;;;;adresse imprécise;15/06/12
75016;16147;Place Dr Hayem (Boulainvilliers/La Fontaine);;;;point décrit;05/10/16
75016;14140;Place du Maréchal de Lattre de Tassigny;;;;adresse imprécise;14/09/12
75016;26088;Place du Maréchal de Lattre de Tassigny;;;;adresse imprécise;07/09/12
75016;32468;Place du Trocadéro, côté esplanade;Place du Trocadéro; côté esplanade;;croisement;20/01/12
75016;35620;Place du Trocadéro, avenue du Président Wilson;Place du Trocadéro; avenue du Président Wilson;;croisement;04/05/12
75016;54069;Place Jean Monnet — rue des Belles Feuilles, rue de la Pompe;Place Jean Monnet — rue des Belles Feuilles; rue de la Pompe;;croisement;09/01/12
75016;17596;Pont Bir Hakeim, avenue du Président Kennedy;Pont Bir Hakeim; avenue du Président Kennedy;;croisement;14/09/12
75016;72093;Pont Bir Hakeim côté rive droite aval — Seine;;;;point décrit;30/11/12
75016;85982;Pont d'Iéna amont — Seine;;;;point décrit;11/04/14
75016;85275;Pont Mirabeau aval — Seine;;;;point décrit;10/03/14
75016;16139;Porte de Boulogne, boulevard d'Auteuil (Bois de Boulogne);Porte de Boulogne; boulevard d'Auteuil (Bois de Boulogne);;croisement;26/12/17
75016;50320;Porte de d'Auteuil, sortie Périph Est;Porte de d'Auteuil; sortie Périph Est;;croisement;18/05/12
75016;27960;Porte de Saint-Cloud;;;;adresse imprécise;28/09/12
75016;10194;Quai de New-York, devant le Palais de Tokyo;;;;point décrit;04/05/12
75016;87335;Route de l'hippodrome Carrefour des Cascades;;;;point décrit;01/10/13
75016;52670;Rue d'Auteuil, rue Michel-Ange;Rue d'Auteuil; rue Michel-Ange;;croisement;27/01/12
75016;34347;Rue de La Fontaine, rue Guérin;Rue de La Fontaine; rue Guérin;;croisement;21/12/11
75016;22575;Rue de la Pompe, avenue Henri Martin;Rue de la Pompe; avenue Henri Martin;;croisement;24/08/12
75016;74609;Rue de Passy, Chaussée de la Muette;Rue de Passy; Chaussée de la Muette;;croisement;08/06/12
75016;55054;Rue du Ranelagh, avenue du Président Kennedy;Rue du Ranelagh; avenue du Président Kennedy;;croisement;04/05/12
75016;16137;Rue du Sergent Maginot, rue de l'Arioste;Rue du Sergent Maginot; rue de l'Arioste;;croisement;02/09/16
75016;18695;Rue Saint-Didier, rue Mesnil;Rue Saint-Didier; rue Mesnil;;croisement;25/05/12
75017;65315;155, rue de Saussure;;;;adresse précise;03/02/12
75017;18085;21 bis, rue Jean Leclaire;;;;adresse précise;25/05/12
75017;34901;80, boulevard Bessières;;;;adresse précise;11/05/12
75017;55563;Avenue de Clichy, passage Petit Cerf;Avenue de Clichy; passage Petit Cerf;;croisement;13/01/12
75017;70446;Avenue de Clichy, rue Brochant;Avenue de Clichy; rue Brochant;;croisement;27/04/12
75017;12852;Avenue de Clichy, rue Guy Moquet;Avenue de Clichy; rue Guy Moquet;;croisement;03/02/12
75017;91182;Avenue de la Grande Armée, rue d'Argentine;Avenue de la Grande Armée; rue d'Argentine;;croisement;22/06/12
75017;18536;Avenue de la Porte d'Asnières, boulevard de Reims;Avenue de la Porte d'Asnières; boulevard de Reims;;croisement;18/05/12
75017;16458;Avenue de la Porte d'Asnières, boulevard Berthier;Avenue de la Porte d'Asnières; boulevard Berthier;;croisement;09/03/12
75017;84425;Avenue de la Porte de Clichy, boulevard Bessières;Avenue de la Porte de Clichy; boulevard Bessières;;croisement;04/05/12
75017;92088;Avenue de la Porte de Saint-Ouen, boulevard Ney;Avenue de la Porte de Saint-Ouen; boulevard Ney;;croisement;14/09/12
75017;47973;Avenue de la Porte des Ternes, rue Gustave Charpentier;Avenue de la Porte des Ternes; rue Gustave Charpentier;;croisement;15/06/12
75017;19182;Avenue de Saint-Ouen, avenue de Clichy;Avenue de Saint-Ouen; avenue de Clichy;;croisement;20/01/12
75017;17064;Avenue de Saint-Ouen, rue Navier;Avenue de Saint-Ouen; rue Navier;;croisement;09/11/18
75017;66498;Avenue de Villiers, rue Legendre;Avenue de Villiers; rue Legendre;;croisement;18/05/12
75017;17097;Avenue de Wagram, rue Rennequin;Avenue de Wagram; rue Rennequin;;croisement;01/12/16
75017;11943;Avenue des Ternes, avenue Niel;Avenue des Ternes; avenue Niel;;croisement;21/06/13
75017;17084;Batignolles — boulevard Berthier, rue Mstislav Rostropovitch;Batignolles — boulevard Berthier; rue Mstislav Rostropovitch;;croisement;inconnue
75017;17081;Batignolles — rue André Suarez, rue du Bastion;Batignolles — rue André Suarez; rue du Bastion;;croisement;Début 2019
75017;17089;Batignolles — rue Bernard Buffet, rue René Blum;Batignolles — rue Bernard Buffet; rue René Blum;;croisement;inconnue
75017;17087;Batignolles — rue Gilbert Cesbron Nord;;;;point décrit;04/07/17
75017;17088;Batignolles — rue Gilbert Cesbron Sud;;;;point décrit;26/06/17
75017;17086;Batignolles — rue Mstislav Rostropovitch Sud;;;;point décrit;inconnue
75017;66817;Boulevard Berthier, rue Albert Roussel;Boulevard Berthier; rue Albert Roussel;;croisement;28/03/14
75017;26158;Boulevard de Courcelles, boulevard Malesherbes;Boulevard de Courcelles; boulevard Malesherbes;;croisement;28/06/13
75017;70605;Passage Saint-Ange, rue Jean Leclaire;Passage Saint-Ange; rue Jean Leclaire;;croisement;17/02/12
75017;76501;Place de Clichy;;;;adresse imprécise;29/06/12
75017;48088;Place du Général Catroux;;;;adresse imprécise;13/04/12
75017;99639;Place du Général Koenig;;;;adresse imprécise;20/04/12
75017;28293;Place du Maréchal Juin;;;;adresse imprécise;03/02/12
75017;18656;Place Paul Tortelier, rue Marguerite Long, rue Stéphane Grappelli;Place Paul Tortelier; rue Marguerite Long; rue Stéphane Grappelli;croisement;17/02/12
75017;80383;Place Saint-Ferdinand, rue Brunel;Place Saint-Ferdinand; rue Brunel;;croisement;27/04/12
75017;49795;Porte Maillot;;;;adresse imprécise;30/03/12
75017;73554;Porte Maillot, avenue de la Grande Armée;Porte Maillot; avenue de la Grande Armée;;croisement;20/04/12
75017;75732;Rue André Brechet, rue Louis Loucheur;Rue André Brechet; rue Louis Loucheur;;croisement;17/08/12
75017;89632;Rue Biot, place Clichy;Rue Biot; place Clichy;;croisement;29/06/12
75017;32355;Rue Boulay, rue de la Jonquière;Rue Boulay; rue de la Jonquière;;croisement;21/12/11
75017;17073;Rue Brunetière, rue de l'Abbé Rousselot;Rue Brunetière; rue de l'Abbé Rousselot;;croisement;18/11/16
75017;10510;Rue Cardinet, rue Lemercier;Rue Cardinet; rue Lemercier;;croisement;08/06/12
75017;18308;Rue Curnonsky, rue Raymond Pitet;Rue Curnonsky; rue Raymond Pitet;;croisement;15/06/12
75017;43139;Rue Davy, rue Legendre;Rue Davy; rue Legendre;;croisement;17/02/12
75017;41692;Rue de Courcelles, avenue Stéphane Mallarmé;Rue de Courcelles; avenue Stéphane Mallarmé;;croisement;07/06/13
75017;69662;Rue de la Jonquière, Villa Sainte-Croix;Rue de la Jonquière; Villa Sainte-Croix;;croisement;27/01/12
75017;17095;Rue de Prony, avenue de Wagram;Rue de Prony; avenue de Wagram;;croisement;18/11/16
75017;87704;Rue de Rome, rue Cardinet;Rue de Rome; rue Cardinet;;croisement;06/09/13
75017;58709;Rue de Saussure, boulevard Pereire;Rue de Saussure; boulevard Pereire;;croisement;13/01/12
75017;17094;Rue des Batignolles, rue des Dames;Rue des Batignolles; rue des Dames;;croisement;08/12/16
75017;44258;Rue Descombes, boulevard Gouvion Saint-Cyr;Rue Descombes; boulevard Gouvion Saint-Cyr;;croisement;04/05/12
75017;87387;Rue Emile Borel, place Arnault Tzanck;Rue Emile Borel; place Arnault Tzanck;;croisement;01/06/12
75017;17096;Rue Galvani, rue Laugier;Rue Galvani; rue Laugier;;croisement;07/12/16
75017;57632;Rue Maria Deraismes, rue Félix Pecaut;Rue Maria Deraismes; rue Félix Pecaut;;croisement;21/12/11
75017;17077;Rue Marie-Georges Picquart — Coté collège et crèche;;;;point décrit;24/02/17
75017;17065;Rue Pierre Rebière, voie accès boulevard Bessières;;;;point décrit;18/11/16
75017;17092;ZAC Pouchet — allée des Cerisiers;;;;point décrit;inconnue
75017;17093;ZAC Pouchet — place Pouchet;;;;point décrit;inconnue
75018;18112;110-122, rue des Poissonniers — prolongement voie vers rue Ordener;;;;point décrit;inconnue
75018;28369;19, rue des Abbesses;;;;adresse précise;29/06/12
75018;15626;Av. de la Porte de Saint-Ouen, rue Louis Pasteur Vallery-Radot;Av. de la Porte de Saint-Ouen; rue Louis Pasteur Vallery-Radot;;croisement;17/08/12
75018;98456;Avenue de la Porte de Clignancourt, rue Francis de Croisset;Avenue de la Porte de Clignancourt; rue Francis de Croisset;;croisement;12/10/12
75018;76356;Avenue de la Porte des Poissonniers, rue du Professeur Gosset;Avenue de la Porte des Poissonniers; rue du Professeur Gosset;;croisement;21/09/12
75018;60904;Avenue de la Porte Montmartre, rue Gérard de Nerval;Avenue de la Porte Montmartre; rue Gérard de Nerval;;croisement;21/12/12
75018;54506;Avenue de Saint-Ouen, rue de la Jonquière;Avenue de Saint-Ouen; rue de la Jonquière;;croisement;31/08/12
75018;58108;Avenue Saint-Ouen, rue Lamark, rue Etex;Avenue Saint-Ouen; rue Lamark; rue Etex;croisement;22/06/12
75018;18110;Binet — nouvelle voie Maurice Grimaud;;;;point décrit;23/04/18
75018;19071;Boulevard Barbès, boulevard de Rochechouart;Boulevard Barbès; boulevard de Rochechouart;;croisement;07/09/12
75018;22378;Boulevard Barbès, boulevard Rochechouart;Boulevard Barbès; boulevard Rochechouart;;croisement;10/08/12
75018;51595;Boulevard de Clichy, rue Caulaincourt;Boulevard de Clichy; rue Caulaincourt;;croisement;29/06/12
75018;78121;Boulevard de la Chapelle, rue d'Aubervilliers;Boulevard de la Chapelle; rue d'Aubervilliers;;croisement;27/07/12
75018;82127;Boulevard de la Chapelle, rue Marx Dormoy;Boulevard de la Chapelle; rue Marx Dormoy;;croisement;08/06/12
75018;16561;Boulevard de la Chapelle, rue Caplat;Boulevard de la Chapelle; rue Caplat;;croisement;23/02/15
75018;73270;Boulevard de Rochechouart, rue de Clignancourt;Boulevard de Rochechouart; rue de Clignancourt;;croisement;03/02/12
75018;62366;Boulevard Ney, place de la Porte de Clignancourt;Boulevard Ney; place de la Porte de Clignancourt;;croisement;21/09/12
75018;80870;Boulevard Ney, rue d'Aubervilliers;Boulevard Ney; rue d'Aubervilliers;;croisement;18/01/13
75018;93698;Boulevard Ney, rue des Poissonniers;Boulevard Ney; rue des Poissonniers;;croisement;14/12/12
75018;47167;Boulevard Ney, rue Charles Hermite;Boulevard Ney; rue Charles Hermite;;croisement;14/12/12
75018;91735;Boulevard Ornano, rue Ordener;Boulevard Ornano; rue Ordener;;croisement;04/05/12
75018;18113;Chapelle International — nouvelle voie créée;;;;point décrit;inconnue
75018;18114;Chapelle International — nouvelle voie créée parallèle;;;;point décrit;inconnue
75018;15446;Face au 86-88, boulevard Ney;;;;point décrit;14/12/12
75018;49070;impasse des Fillettes, rue Charles Hermite, rue Emile Bertin;impasse des Fillettes; rue Charles Hermite; rue Emile Bertin;croisement;14/12/12
75018;29420;Jardin René Binet, rue Frédéric Schneider;Jardin René Binet; rue Frédéric Schneider;;croisement;27/04/12
75018;24022;Place Blanche, rue Blanche;Place Blanche; rue Blanche;;croisement;09/03/12
75018;18023;Place du Château Rouge, rue Poulet, boulevard Barbès;Place du Château Rouge; rue Poulet; boulevard Barbès;croisement;09/11/12
75018;62384;Place du Tertre, place Jean Marais;Place du Tertre; place Jean Marais;;croisement;16/11/12
75018;34810;Place du Tertre;;;;adresse imprécise;16/11/12
75018;91314;Place Hébert;;;;adresse imprécise;08/06/12
75018;10630;Place Jules Joffrin, rue Hermel;Place Jules Joffrin; rue Hermel;;croisement;11/05/12
75018;12278;Place Paul Eluard;;;;adresse imprécise;08/06/12
75018;10631;Porte de la Chapelle, boulevard Ney, avenue de la Porte de la Chapelle;Porte de la Chapelle; boulevard Ney; avenue de la Porte de la Chapelle;croisement;21/12/12
75018;18201;Porte de la Chapelle — boulevard Ney, avenue Porte de la Chapelle — Centre migrants;;;;point décrit;14/02/17
75018;18202;Porte de la Chapelle — boulevard Ney, avenue Porte de la Chapelle — Centre migrants;;;;point décrit;14/02/17
75018;88886;Rond-point de la Chapelle, rue Raymond Queneau;Rond-point de la Chapelle; rue Raymond Queneau;;croisement;13/07/12
75018;95960;Rue Boinod, rue du Simplon;Rue Boinod; rue du Simplon;;croisement;27/04/12
75018;81112;Rue Caulaincourt, rue du Mont Cenis;Rue Caulaincourt; rue du Mont Cenis;;croisement;31/08/12
75018;43793;Rue Caulaincourt, rue Joseph de Maistre;Rue Caulaincourt; rue Joseph de Maistre;;croisement;29/06/12
75018;98320;Rue Championnet, boulevard Ornano;Rue Championnet; boulevard Ornano;;croisement;28/09/12
75018;70209;Rue Chapelle, impasse du Curé;Rue Chapelle; impasse du Curé;;croisement;08/06/12
75018;69210;Rue de Clignancourt, rue Christiani;Rue de Clignancourt; rue Christiani;;croisement;07/12/12
75018;81580;Rue de Clignancourt, rue Marcadet;Rue de Clignancourt; rue Marcadet;;croisement;09/03/12
75018;97289;Rue de Clignancourt, rue Doudeauville;Rue de Clignancourt; rue Doudeauville;;croisement;07/12/12
75018;79891;Rue de l'Evangile, rue d'Aubervilliers;Rue de l'Evangile; rue d'Aubervilliers;;croisement;11/01/13
75018;76006;Rue de la Chapelle, rue du Pré;Rue de la Chapelle; rue du Pré;;croisement;21/09/12
75018;18087;Rue de la Goutte d'Or, rue des Islettes;Rue de la Goutte d'Or; rue des Islettes;;croisement;14/11/16
75018;18098;Rue de la Porte des Poissonniers, rue Jean Cocteau;Rue de la Porte des Poissonniers; rue Jean Cocteau;;croisement;inconnue
75018;18088;Rue de Panama, rue Léon;Rue de Panama; rue Léon;;croisement;13/10/16
75018;42595;Rue de Steinkerque, boulevard de Rochechouart;Rue de Steinkerque; boulevard de Rochechouart;;croisement;13/01/12
75018;16334;Rue des Poissonniers, rue Myrha;Rue des Poissonniers; rue Myrha;;croisement;07/12/12
75018;18111;Rue des Poissonniers, rue Championnet;Rue des Poissonniers; rue Championnet;;croisement;08/08/17
75018;46817;Rue des Poissonniers, rue Marcadet;Rue des Poissonniers; rue Marcadet;;croisement;15/06/12
75018;48934;Rue des Poissonniers, rue Doudeauville;Rue des Poissonniers; rue Doudeauville;;croisement;09/11/12
75018;18086;Rue Doudeauville, boulevard Barbès;Rue Doudeauville; boulevard Barbès;;croisement;14/11/16
75018;41624;Rue du Département, rue Caillie;Rue du Département; rue Caillie;;croisement;29/03/13
75018;64494;Rue du Poteau, boulevard Ney;Rue du Poteau; boulevard Ney;;croisement;27/04/12
75018;83922;Rue du Ruisseau, rue du Poteau;Rue du Ruisseau; rue du Poteau;;croisement;08/06/12
75018;15048;Rue Jean Henri Fabre, rue du Colonel Dax;Rue Jean Henri Fabre; rue du Colonel Dax;;croisement;21/09/12
75018;18115;Rue Labat, boulevard Barbès;Rue Labat; boulevard Barbès;;croisement;14/11/16
75018;40936;Rue Léon, rue Cavé;Rue Léon; rue Cavé;;croisement;25/05/12
75018;48778;Rue Léon, rue Doudeauville;Rue Léon; rue Doudeauville;;croisement;09/11/12
75018;49804;Rue Marcadet, rue Damrémont;Rue Marcadet; rue Damrémont;;croisement;27/04/12
75018;18104;Rue Marcadet, rue du Ruisseau;Rue Marcadet; rue du Ruisseau;;croisement;02/05/17
75018;46275;Rue Marx Dormoy, rue du Département;Rue Marx Dormoy; rue du Département;;croisement;20/07/12
75018;67972;Rue Myrha, rue Affre;Rue Myrha; rue Affre;;croisement;18/01/13
75018;82315;Rue Ordener, rue Championnet, rue Vauvenargues;Rue Ordener; rue Championnet; rue Vauvenargues;croisement;22/06/12
75018;82473;Rue Ordener, rue Damrémont;Rue Ordener; rue Damrémont;;croisement;11/05/12
75018;35021;Rue Ordener, rue des Poissonniers;Rue Ordener; rue des Poissonniers;;croisement;25/05/12
75018;18091;Rue Pajol, rue du Département, rue Philippe de Girard;Rue Pajol; rue du Département; rue Philippe de Girard;croisement;31/01/17
75018;18093;Rue Pajol, rue Romy Schneider;Rue Pajol; rue Romy Schneider;;croisement;inconnue
75018;52675;Rue Polonceau, rue des Gardes;Rue Polonceau; rue des Gardes;;croisement;25/05/12
75018;52236;Rue Poulet, rue Dejean;Rue Poulet; rue Dejean;;croisement;inconnue
75018;25902;Rue René Binet, rue Fernand Labori;Rue René Binet; rue Fernand Labori;;croisement;27/04/12
75018;79855;Rue Riquet, rue d'Aubervilliers;Rue Riquet; rue d'Aubervilliers;;croisement;29/06/12
75018;18094;Rue Riquet, rue Pajol;Rue Riquet; rue Pajol;;croisement;10/03/17
75018;28849;Rue Stephenson, rue de Laghouat;Rue Stephenson; rue de Laghouat;;croisement;25/01/13
75018;35296;Rue Stéphenson, rue Doudeauville;Rue Stéphenson; rue Doudeauville;;croisement;23/11/12
75018;44255;Rue Yvonne le Tac, rue Chappe, rue Tardieu;Rue Yvonne le Tac; rue Chappe; rue Tardieu;croisement;31/08/12
75018;20785;Square Louise Michel;;;;adresse imprécise;08/06/12
75019;42264;15-17, avenue Simon Bolivar;;;;adresse précise;25/05/12
