Code postal;Numéro;Implantation;Précision de l’implantation;Date de mise en service;lon;lat
75015;41677;Boulevard du Montparnasse, rue de l'Arrivée;croisement;06/09/13;2.3230894;48.84412805
75010;42055;Boulevard de la Chapelle, rue du Faubourg Saint-Denis;croisement;08/06/12;2.3592911;48.8843133
75020;42222;Boulevard de Charonne, rue d'Avron;croisement;29/06/12;2.3985713;48.8513509
75004;42301;Rue Charlemagne, rue des Jardins Saint-Paul;croisement;04/05/12;2.3611048;48.8540373
75012;42411;Cours de Vincennes, avenue du Docteur Arnold Netter;croisement;20/12/13;2.4062888;48.8472687666667
75018;42595;Rue de Steinkerque, boulevard de Rochechouart;croisement;13/01/12;2.3438697;48.8829160666667
75014;42789;Rue Jean Dolent, rue Messier;croisement;20/01/12;2.3380526;48.8337827
75017;43139;Rue Davy, rue Legendre;croisement;17/02/12;2.3252198;48.8910324
75006;43190;Rue de Sèvres, boulevard Raspail;croisement;23/03/12;2.326811;48.85157
75014;43339;Boulevard Arago, rue du Faubourg Saint-Jacques;croisement;20/01/12;2.3369678;48.834607
75011;43592;Boulevard Voltaire, rue du Chemin Vert;croisement;09/11/12;2.3768492;48.8597514
75006;43920;Rue Garancière, rue Saint-Sulpice;croisement;20/01/12;2.3357195;48.8513168
75015;43956;Place Marcel Cerdan, boulevard de Grenelle, rue Humblot;croisement;17/02/12;2.29240538;48.8508069
75018;44255;Rue Yvonne le Tac, rue Chappe, rue Tardieu;croisement;31/08/12;2.3414489;48.8839931
75011;44425;Avenue de la République, rue Saint-Maur;croisement;15/06/12;2.3780233;48.8646104
75019;44802;Rue de Cambrai, rue Benjamin Constant;croisement;31/08/12;2.3813082;48.8959517
75001;44805;Rue de Rivoli, rue du 29 Juillet;croisement;08/06/12;2.3301511;48.864454
75008;45343;Place des Ternes, boulevard de Courcelles;croisement;01/06/12;2.29857883333333;48.8783166333333
75020;45510;Rue de Bagnolet, rue des Pyrénées;croisement;21/12/11;2.4021238;48.8591448
75010;45724;Rue du Faubourg Saint-Martin, rue du 8 mai 1945;croisement;06/07/12;2.35974396666667;48.8759077
75010;45873;Quai de Jemmapes, boulevard Jules Ferry;croisement;27/04/12;2.3676123;48.8688362
75015;45963;Place Raoul Dautry, boulevard de Vaugirard, rue de l'Arrivée;croisement;20/04/12;2.3199362;48.8418633
75020;46604;Place Gambetta, avenue Gambetta;croisement;22/06/12;2.3983194;48.8648888
75001;46685;Avenue du Général Lemonnier, rue de Rivoli;croisement;20/01/12;2.33207793333333;48.8637366666667
75009;47183;Rue de Douai, place Adolphe Max;croisement;20/01/12;2.3304302;48.8832947
75004;47437;Rue de la Verrerie, rue du Renard;croisement;08/06/12;2.3518767;48.8583695
75012;47573;Avenue Daumesnil, rue de Rambouillet;croisement;03/02/12;2.3815314;48.84427935
75017;47973;Avenue de la Porte des Ternes, rue Gustave Charpentier;croisement;15/06/12;2.2817888;48.8815087
75011;48009;Boulevard Voltaire, rue de Charonne;croisement;21/12/11;2.3853169;48.8547007
75010;48209;Quai de Valmy, rue Louis Blanc;croisement;09/03/12;2.3673727;48.87988
75004;48238;Quai de l'Archevêché, pont de l'Archevêché;croisement;26/10/12;2.3517259;48.8517985
75013;48567;Avenue des Gobelins, boulevard Saint-Marcel;croisement;01/06/12;2.3518495;48.836787
75008;48713;Boulevard Malesherbes, place de la Madeleine;croisement;27/04/12;2.32355184285714;48.8698875285714
75018;48778;Rue Léon, rue Doudeauville;croisement;09/11/12;2.3535674;48.8884808
75009;48781;Place Pigalle, rue Jean-Baptiste Pigalle;croisement;03/02/12;2.3371854;48.8819811
75010;48813;Rue du Château Landon, rue Louis Blanc;croisement;21/09/12;2.36323903333333;48.8821487333333
75015;48877;Rue George Bernard Shaw, rue Leroi Gourhan;croisement;27/01/12;2.2937289;48.8518667
75015;49453;Avenue du Maine, rue du Départ;croisement;20/04/12;2.3215283;48.8411567
75020;49681;Rue des Pyrénées, rue d'Avron;croisement;18/01/13;2.4061085;48.8526951
75018;49804;Rue Marcadet, rue Damrémont;croisement;27/04/12;2.3349628;48.891664
75001;51066;Place de la Concorde, rue de Rivoli;croisement;11/01/13;2.3234727;48.86634065
75004;51128;Rue Ferdinand Duval, rue des Rosiers;croisement;09/03/12;2.3599122;48.8569272
75007;51211;Boulevard Raspail, rue de Varenne;croisement;27/07/12;2.3262995;48.8533882
